sex,age,address,traveltime,studytime,failures,romantic,freetime,goout,Dalc,Walc,absences,G1,G2,G3
F,18,U,2,2,0,no,3,4,1,1,6,5,6,6
F,17,U,1,2,0,no,3,3,1,1,4,5,5,6
F,15,U,1,2,3,no,3,2,2,3,10,7,8,10
F,15,U,1,3,0,yes,2,2,1,1,2,15,14,15
F,16,U,1,2,0,no,3,2,1,2,4,6,10,10
M,16,U,1,2,0,no,4,2,1,2,10,15,15,15
M,16,U,1,2,0,no,4,4,1,1,0,12,12,11
F,17,U,2,2,0,no,1,4,1,1,6,6,5,6
M,15,U,1,2,0,no,2,2,1,1,0,16,18,19
M,15,U,1,2,0,no,5,1,1,1,0,14,15,15
F,15,U,1,2,0,no,3,3,1,2,0,10,8,9
F,15,U,3,3,0,no,2,2,1,1,4,10,12,12
M,15,U,1,1,0,no,3,3,1,3,2,14,14,14
M,15,U,2,2,0,no,4,3,1,2,2,10,10,11
M,15,U,1,3,0,yes,5,2,1,1,0,14,16,16
F,16,U,1,1,0,no,4,4,1,2,4,14,14,14
F,16,U,1,3,0,no,2,3,1,2,6,13,14,14
F,16,U,3,2,0,no,3,2,1,1,4,8,10,10
M,17,U,1,1,3,no,5,5,2,4,16,6,5,5
M,16,U,1,1,0,no,1,3,1,3,4,8,10,10
M,15,U,1,2,0,no,4,1,1,1,0,13,14,15
M,15,U,1,1,0,no,4,2,1,1,0,12,15,15
M,16,U,1,2,0,no,5,1,1,3,2,15,15,16
M,16,U,2,2,0,no,4,4,2,4,0,13,13,12
F,15,R,1,3,0,no,3,2,1,1,2,10,9,8
F,16,U,1,1,2,no,2,2,1,3,14,6,9,8
M,15,U,1,1,0,no,2,2,1,2,2,12,12,11
M,15,U,1,1,0,no,2,4,2,4,4,15,16,15
M,16,U,1,2,0,no,3,3,1,1,4,11,11,11
M,16,U,1,2,0,yes,4,5,5,5,16,10,12,11
M,15,U,1,2,0,no,4,2,3,4,0,9,11,12
M,15,U,2,2,0,no,3,1,1,1,0,17,16,17
M,15,R,1,2,0,yes,5,2,1,1,0,17,16,16
M,15,U,1,2,0,no,3,2,1,1,0,8,10,12
M,16,U,1,1,0,no,4,3,1,1,0,12,14,15
F,15,U,2,1,0,no,5,1,1,1,0,8,7,6
M,15,U,1,3,0,no,4,3,1,1,2,15,16,18
M,16,R,2,3,0,yes,4,3,1,1,7,15,16,15
F,15,R,1,3,0,no,3,2,1,1,2,12,12,11
F,15,R,1,1,0,no,3,1,1,1,8,14,13,13
F,16,U,2,2,1,yes,3,3,1,2,25,7,10,11
M,15,U,1,1,0,yes,4,3,2,4,8,12,12,12
M,15,U,1,2,0,no,3,3,1,1,2,19,18,18
M,15,U,1,1,0,no,4,1,1,1,0,8,8,11
F,16,U,2,2,1,no,3,3,2,2,14,10,10,9
F,15,U,1,2,0,yes,2,2,1,1,8,8,8,6
F,16,U,1,2,0,no,3,5,1,4,12,11,12,11
M,16,U,1,4,0,no,2,2,1,1,4,19,19,20
M,15,U,1,2,0,no,3,3,2,2,2,15,15,14
F,15,U,1,2,1,no,4,4,1,1,2,7,7,7
