traveltime,studytime,freetime,goout,Dalc,Walc,absences,,,,,,,,
2,2,3,4,1,1,6,P(traveltime= ?2? | 0 ), 2/7,,P(traveltime= ?2? | 1 ),  1/8 ,,P(traveltime= ?2? | 2 ),  2/11
1,2,3,3,1,1,4,P(studytime= ?2? | 0 ), 3/7,,P(studytime= ?2? | 1), 4/7,,P(studytime= ?2? | 2),  5/11
1,2,3,2,2,3,10,P(freetime= ?3? | 0 ) , 2/7,,P(freetime= ?3? | 1 ) ,  1/2 ,,P(freetime= ?3? | 2 ) ,  2/11
1,3,2,2,1,1,2,P(goout= ?4? | 0 ), 1/7,,P(goout= ?4? | 1 ),  1/16,,P(goout= ?4? | 2 ),  1/11
1,2,3,2,1,2,4,P(Dalc= ?1? | 0 ), 5/7,,P(Dalc= ?1? | 1), 2/3,,P(Dalc= ?1? | 2), 10/11
1,2,4,2,1,2,10,P(Walc= ?1? | 0 ), 4/7,,P(Walc= ?1? | 1 ), 3/8,,P(Walc= ?1? |2 ),  9/11
1,2,4,4,1,1,0,P(absences= ?6? | 0 ),0.056695,,P(absences= ?6? | 1),0.058029,,P(absences= ?6? | 2),0.04
2,2,1,4,1,1,6,P(0) ,  7/34,,P(1) ,  8/17,,P(2), 11/34
1,2,2,2,1,1,0,,,,,,,,
1,2,5,1,1,1,0,mul,2.38115E-05,,mul,1.54694E-05,,mul,1.17252E-05
1,2,3,3,1,2,0,,,,,,,,
3,3,2,2,1,1,4,,,,,,,,
1,1,3,3,1,3,2,,,,,,,,
2,2,4,3,1,2,2,,,,,,,,
1,3,5,2,1,1,0,,,,,,,,
1,1,4,4,1,2,4,,,,,,,,
